title,year,imdb_votes,location,geocode
Hollywood Ending,2002,22427,"Central Park, Manhattan, New York City, New York, USA",
Hollywood Ending,2002,22427,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
A Guide to Recognizing Your Saints,2006,22689,"Astoria, Queens, New York City, New York, USA",
What Maisie Knew,2012,22831,"The High Line, Manhattan, New York City, New York, USA",
What Maisie Knew,2012,22831,"New York City, New York, USA",
Radio Days,1987,25529,"Radio City Music Hall - 1260 6th Avenue, Rockefeller Center, Manhattan, New York City, New York, USA",
Radio Days,1987,25529,"Brooklyn, New York City, New York, USA",
Radio Days,1987,25529,"Horn and Hardart Automat - 200 East 42nd Street, Manhattan, New York City, New York, USA",
Radio Days,1987,25529,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",
Radio Days,1987,25529,"Metropolitan Life Tower - 11 Madison Avenue, Manhattan, New York City, New York, USA",
Radio Days,1987,25529,"Radio City Music Hall - 1260 6th Avenue, Rockefeller Center, Manhattan, New York City, New York, USA",
Radio Days,1987,25529,"Rockaway Beach, Queens, New York City, New York, USA",
Anything Else,2003,25979,"50 Commerce St, Greenwich Village, Manhattan, New York City, New York, USA",
Anything Else,2003,25979,"Astoria, Queens, New York City, New York, USA",
Anything Else,2003,25979,"Central Park, Manhattan, New York City, New York, USA",
Anything Else,2003,25979,"Sheepshead Bay, Brooklyn, New York City, New York, USA",
The Odd Couple,1968,26072,"190 Riverside Drive, Manhattan, New York City, New York, USA",
The Odd Couple,1968,26072,"Broadway, Manhattan, New York City, New York, USA",
The Odd Couple,1968,26072,"New York City, New York, USA",
The Odd Couple,1968,26072,"Shea Stadium - 12301 Roosevelt Avenue, Flushing Meadows Park, Queens, New York City, New York, USA",
The Odd Couple,1968,26072,"Soldiers' & Sailors' Memorial Monument, Riverside Park, Manhattan, New York City, New York, USA",
The Odd Couple,1968,26072,"The Dorchester Apartments - 131 Riverside Drive at 85th Street, New York City, New York, USA",
Happythankyoumoreplease,2010,26826,"New York City, New York, USA",
Kill Your Darlings,2013,27792,"New York City, New York, USA",
Kill Your Darlings,2013,27792,"Queens, New York City, New York, USA",
Kill Your Darlings,2013,27792,"East Village, Manhattan, New York City, New York, USA",
Kill Your Darlings,2013,27792,"Columbia University, New York City, New York, USA",
City Island,2009,27830,"City Island, Bronx, New York City, New York, USA",
Shortbus,2006,28153,"New York City, New York, USA",
Fighting,2009,28373,"DeKalb Av/Washington Park, Fort Greene, Brooklyn, New York City, New York, USA",
Fighting,2009,28373,"Nassau Street, Manhattan, New York City, New York, USA",
Fighting,2009,28373,"Ramon Aponte Park, W. 47th Street, New York City, New York, USA",
Igby Goes Down,2002,29568,"Central Park, Manhattan, New York City, New York, USA",
Igby Goes Down,2002,29568,"New York City, New York, USA",
Igby Goes Down,2002,29568,"Soho, Manhattan, New York City, New York, USA",
Igby Goes Down,2002,29568,"Washington Square Park, Greenwich Village, Manhattan, New York City, New York, USA",
Manhattan Murder Mystery,1993,29797,"201 West 72nd Street, Manhattan, New York City, New York, USA",
